# bin	track	focus	reading
select_race	async-core	观察 select! 竞争、胜出分支和未完成 Future 的 drop	docs/rust-essentials/10-tokio-select.md
select_loop	async-core	观察循环中的 recv、timer guard 与 channel close	docs/rust-essentials/10-tokio-select.md
select_cancel_drop	async-core	区分 Future drop、RAII cleanup 和已发生的外部副作用	docs/rust-essentials/10-tokio-select.md
watch_latest	async-core	区分 watch 的最新状态、版本通知和事件队列	docs/rust-essentials/13-watch-channel.md
actor_request_reply	async-core	观察 mpsc command、oneshot reply 和单一状态 owner	docs/rust-essentials/09-channels-cancellation-streams.md
spawn_local_rc	async-core	理解 LocalSet 中 Rc<RefCell<_>> 的线程与生命周期边界	docs/rust-essentials/12-spawn-local.md
timer_reset	async-core	复用并 reset 一个 pinned Sleep	docs/rust-essentials/11-pin-and-future.md
mutex_snapshot	async-core	在 await 前释放锁并保留 owned snapshot	docs/rust-essentials/15-interior-mutability-and-locks.md
mini_session_actor	turn	观察 mailbox、输入队列、单一 running Turn 和 completion 回流	docs/deep-dives/run-session.md
mini_sampler_retry	turn	区分 logical request、attempt、retry veto 和 Session 恢复	docs/deep-dives/sampling-lifecycle.md
mini_turn_end_to_end	turn	串起一 Turn 两次 sampling、tool join 和四种确认边界	docs/deep-dives/message-flow.md
mini_pager_reducer	turn	观察 stream/echo 合并、tool ID、follow 与 finish	docs/deep-dives/pager-rendering.md
mini_replay_order	turn	验证 chunk 合并、强制 flush 和 TurnCompleted 顺序	docs/deep-dives/persistence-and-replay.md
mini_tool_pipeline	tool-safety	串起 JSON 参数、权限、Progress/Terminal 和 ChatState 写回	docs/deep-dives/tool-call-pipeline.md
mini_permission_layers	tool-safety	区分 plan、permission manager、managed deny 和 OS sandbox	docs/deep-dives/permissions-and-sandbox.md
mini_capability_injection	tool-safety	观察 typed Resources、rebuild 和 ephemeral call context	docs/deep-dives/resources-and-capability-injection.md
mini_extension_lifecycle	tool-safety	区分 contributor、hook gate、permission gate 和 post terminal	docs/deep-dives/extensions-and-lifecycle.md
mini_context_compaction	state-recovery	区分 request pruning 与权威 history full replace	docs/04-context-management.md
mini_storage_recovery	state-recovery	验证 durable ack、提交分类、torn tail 和原子 snapshot	docs/deep-dives/persistence-and-replay.md
mini_workspace_rewind	state-recovery	观察修改前权限、before/after、冲突和 checkpoint truncate	docs/deep-dives/workspace-state-and-worktree-lifecycle.md
mini_cancel_shutdown	state-recovery	区分 Turn cancel 与 Session shutdown 的清理所有权	docs/deep-dives/cancellation-and-shutdown.md
mini_config_resolution	runtime-assembly	观察配置深度合并、来源优先级和 Session snapshot	docs/deep-dives/configuration-and-runtime-resolution.md
mini_prompt_assembly	runtime-assembly	拆分 stable system、首轮规则、conversation 和 reminder	docs/deep-dives/prompt-assembly.md
mini_auth_model_boundary	runtime-assembly	验证 wire model、endpoint gate、401 budget 和 secret 脱敏	docs/deep-dives/authentication-and-model-resolution.md
mini_host_leader_routing	runtime-assembly	观察入口优先级、ready/auth、client capability 和 ID namespace	docs/deep-dives/host-modes-and-entrypoints.md
mini_mcp_singleflight	integration	验证单飞握手、取消恢复和 stale close 隔离	docs/deep-dives/mcp-lifecycle.md
mini_mcp_dispatch_window	integration	观察事件合并窗口、identity eviction 和 recovery routing	docs/deep-dives/mcp-dispatcher.md
mini_subagent_scope	integration	区分 fresh/fork/resume、父子 history、cwd 和 owner cancel	docs/deep-dives/subagents-and-workflows.md
mini_workflow_replay	integration	验证 journal hash、无副作用 replay 和预算 reservation	docs/deep-dives/subagents-and-workflows.md
mini_trace_timeline	integration	串起 task context、关联 ID、traceparent 和默认拒绝导出	docs/deep-dives/observability-and-trace-timeline.md
